n_HD	HD	DM	GC	HR	HIP	RAJ2000	DEJ2000	Vmag	Fl	Bayer	Cst	Simbad
 	    28	BD-06  6357 	   59	   3	   443	00 05 20.15	-05 42 28.2	 4.61	 33	     	Psc	Simbad
 	    87	BD+12  5063 	   75	   4	   476	00 05 41.94	+13 23 46.6	 5.55	 86	     	Peg	Simbad
 	   144	BD+63  2107 	   94	   7	   531	00 06 26.53	+64 11 46.2	 5.57	 10	     	Cas	Simbad
 	   315	BD-03     2 	  114	  11	   635	00 07 44.10	-02 32 55.3	 6.43	  4	     	Cet	Simbad
 	   352	BD-03     3 	  124	  14	   664	00 08 12.09	-02 26 51.7	 6.18	  5	     	Cet	Simbad
X	   358	BD+28     4 	  127	  15	   677	00 08 23.17	+29 05 27.0	 2.07	 21	alf  	And	Simbad
X	   358	BD+28     4 	  127	  15	   677	00 08 23.17	+29 05 27.0	 2.07	   	del  	Peg	Simbad
M	   432	BD+58     3 	  147	  21	   746	00 09 10.09	+59 09 00.8	 2.28	 11	bet  	Cas	Simbad
 	   448	BD+17     7 	  144	  22	   729	00 09 02.34	+18 12 43.3	 5.57	 87	     	Peg	Simbad
 	   493	CD-28    16 	  155	  24	   761	00 09 21.02	-27 59 16.5	 5.42	   	kap01	Scl	Simbad
 	   496	CD-46    18 	  158	  25	   765	00 09 24.54	-45 44 49.2	 3.88	   	eps  	Phe	Simbad
 	   560	BD+10     8 	  167	  26	   813	00 10 02.18	+11 08 44.9	 5.54	 34	     	Psc	Simbad
 	   571	BD+45    17 	  169	  27	   841	00 10 19.24	+46 04 20.2	 5.01	 22	     	And	Simbad
 	   636	CP-82     4 	  173	  30	   814	00 10 02.27	-82 13 26.4	 5.29	   	gam03	Oct	Simbad
X	   693	BD-16    17 	  190	  33	   910	00 11 15.91	-15 28 02.4	 4.89	  6	     	Cet	Simbad
X	   693	BD-16    17 	  190	  33	   910	00 11 15.91	-15 28 02.4	 4.89	  6	f    	Cet	Simbad
 	   720	CD-28    26 	  197	  34	   930	00 11 34.42	-27 47 59.2	 5.41	   	kap02	Scl	Simbad
 	   739	CD-35    42 	  202	  35	   950	00 11 43.89	-35 08 00.2	 5.24	   	the  	Scl	Simbad
M	   886	BD+14    14 	  238	  39	  1067	00 13 14.15	+15 11 01.0	 2.83	 88	gam  	Peg	Simbad
 	   905	BD+40    29 	  244	  41	  1086	00 13 30.94	+41 02 08.6	 5.71	 23	     	And	Simbad
 	  1013	BD+19    27 	  270	  45	  1168	00 14 36.11	+20 12 24.1	 4.79	 89	chi  	Peg	Simbad
 	  1038	BD-19    21 	  272	  48	  1170	00 14 38.43	-18 55 57.7	 4.44	  7	     	Cet	Simbad
 	  1061	BD+08    19 	  287	  50	  1196	00 14 58.78	+08 49 15.7	 6.02	 35	     	Psc	Simbad
 	  1227	BD+07    27 	  315	  59	  1319	00 16 34.06	+08 14 24.7	 6.12	 36	     	Psc	Simbad
 	  1280	BD+37    34 	  334	  63	  1366	00 17 05.54	+38 40 54.0	 4.61	 24	the  	And	Simbad
 	  1317	BD+08    24 	  340	    	  1392	00 17 24.50	+08 52 34.8	 6.66	 38	     	Psc	Simbad
 	  1337	BD+50    46 	  345	  65	  1415	00 17 43.07	+51 25 59.1	 6.11	   	AO   	Cas	Simbad
 	  1404	BD+35    44 	  362	  68	  1473	00 18 19.71	+36 47 07.2	 4.51	 25	sig  	And	Simbad
 	  1438	BD+42    48 	  376	  70	  1501	00 18 42.15	+43 47 28.1	 6.10	 26	     	And	Simbad
M	  1522	BD-09    48 	  388	  74	  1562	00 19 25.68	-08 49 25.8	 3.56	  8	iot  	Cet	Simbad
 	  1563	BD+15    47 	  398	    	  1595	00 19 56.28	+16 15 03.2	 6.60	 40	     	Psc	Simbad
 	  1581	CP-65    13 	  401	  77	  1599	00 20 01.91	-64 52 39.4	 4.23	   	zet  	Tuc	Simbad
 	  1635	BD+07    36 	  413	  80	  1645	00 20 35.86	+08 11 24.9	 5.38	 41	d    	Psc	Simbad
 	  1671	BD+37    45 	  425	  82	  1686	00 21 07.23	+37 58 07.3	 5.16	 27	rho  	And	Simbad
 	  1685	CP-70    12 	  420	  83	  1647	00 20 39.04	-69 37 29.7	 5.50	   	pi.  	Tuc	Simbad
 	  1737	CD-29    86 	  433	  84	  1708	00 21 31.18	-28 58 52.7	 5.18	   	iot  	Scl	Simbad
 	  1760	BD-20    50 	  437	  85	  1728	00 21 46.23	-20 03 28.8	 5.61	   	T    	Cet	Simbad
 	  1796	BD+12    25 	  446	  86	  1772	00 22 25.45	+13 28 56.8	 6.25	 42	     	Psc	Simbad
 	  1835	BD-13    60 	  452	  88	  1803	00 22 51.55	-12 12 34.5	 6.39	  9	     	Cet	Simbad
 	  1967	BD+37    58 	  472	  90	      	00 24 02.00	+38 34 38.0	 7.39	   	R    	And	Simbad
 	  2011	BD+61    69 	  481	  93	  1960	00 24 47.49	+61 49 51.8	 5.38	 12	     	Cas	Simbad
 	  2051	CP-72    35 	     	    	  1902	00 24 02.87	-72 05 43.3	11.21	   	ksi  	Tuc	Simbad
 	  2114	BD+01    57 	  496	  97	  2006	00 25 24.22	+01 56 23.0	 5.77	 44	     	Psc	Simbad
 	  2140	BD+06    43 	  502	    	  2025	00 25 41.89	+07 41 28.4	 6.77	 45	     	Psc	Simbad
 	  2151	CP-77    16 	  503	  98	  2021	00 25 39.20	-77 15 18.1	 2.82	   	bet  	Hyi	Simbad
M	  2261	CD-42   116 	  519	  99	  2081	00 26 16.87	-42 18 18.4	 2.40	   	alf  	Phe	Simbad
 	  2262	CD-44   101 	  516	 100	  2072	00 26 12.12	-43 40 47.7	 3.93	   	kap  	Phe	Simbad
 	  2273	BD-00    63 	  523	 101	  2100	00 26 37.37	-00 02 58.3	 6.16	 10	     	Cet	Simbad
 	  2410	BD+18    51 	  542	    	  2213	00 27 58.48	+19 30 50.7	 6.40	 46	     	Psc	Simbad
M	  2411	BD+17    55 	  543	 103	  2219	00 28 02.84	+17 53 35.1	 5.01	 47	TV   	Psc	Simbad
 	  2429	CD-33   152 	  544	 105	  2210	00 27 55.71	-33 00 25.4	 4.86	   	eta  	Scl	Simbad
 	  2436	BD+15    63 	  548	 106	  2224	00 28 12.69	+16 26 42.4	 6.05	 48	     	Psc	Simbad
 	  2628	BD+28    75 	  583	 114	  2355	00 30 07.34	+29 45 06.1	 5.20	 28	     	And	Simbad
 	  2637	BD-04    54 	  584	 117	  2353	00 30 02.35	-03 57 26.3	 5.72	 12	     	Cet	Simbad
 	  2729	BD+65    67 	  609	 121	  2474	00 31 25.20	+66 31 10.7	 6.18	 13	     	Cas	Simbad
 	  2772	BD+53    82 	  618	 123	  2505	00 31 46.32	+54 31 20.4	 4.74	 14	lam  	Cas	Simbad
 	  2834	CD-49   115 	  619	 125	  2472	00 31 24.86	-48 48 12.8	 4.76	   	lam01	Phe	Simbad
X	  2884	CP-63    50A	  625	 126	  2484	00 31 32.56	-62 57 29.1	 4.36	   	bet01	Tuc	Simbad
X	  2884	CP-63    50A	  625	 126	  2484	00 31 32.56	-62 57 29.1	 4.36	   	bet  	Tuc	Simbad
X	  2885	CP-63    50C	  626	 127	  2487	00 31 33.36	-62 57 55.6	 4.53	   	bet02	Tuc	Simbad
X	  2885	CP-63    50C	  626	 127	  2487	00 31 33.36	-62 57 55.6	 4.53	   	bet  	Tuc	Simbad
 	  2905	BD+62   102 	  645	 130	  2599	00 32 59.99	+62 55 54.4	 4.17	 15	kap  	Cas	Simbad
